month,district_id,type_group,dtp_count,dead_total,injured_total,children_dead,children_injured,avg_risk_score
1,89,Столкновение,7,1,8,0,0,0.015758980170890852
1,90,Наезд на пешехода,7,0,7,0,3,0.024754698670489968
1,90,Наезд на препятствие,1,0,1,0,0,0.04218068575620413
1,90,Наезд на стоящее ТС,3,0,4,0,0,0.1603073210426353
1,90,Столкновение,11,0,13,0,2,0.07850111199460265
1,91,Наезд на велосипедиста,1,0,1,0,0,0.00948587198067526
1,91,Наезд на пешехода,15,0,15,0,2,0.022629470183661675
1,91,Столкновение,18,0,25,0,4,0.028106149259259767
1,92,Наезд на пешехода,2,0,2,0,0,0.07283826064533026
1,92,Наезд на препятствие,2,0,2,0,0,0.04336307610187794
1,92,Наезд на стоящее ТС,2,0,2,0,0,0.04547758360750701
1,92,Столкновение,11,0,16,0,1,0.04574700077135521
1,93,Наезд на пешехода,5,0,5,0,3,0.008579166900605941
1,93,Наезд на стоящее ТС,1,0,1,0,0,0.09891240023537137
1,93,Столкновение,4,0,5,0,0,0.018253061364921032
1,94,Наезд на пешехода,5,0,6,0,1,0.013601157243856665
1,94,Наезд на препятствие,1,0,1,0,0,0.00670579786690376
1,94,Наезд на стоящее ТС,2,0,2,0,0,0.06934527039960948
1,94,Столкновение,17,0,21,0,3,0.04104347770013012
1,95,Наезд на пешехода,2,1,1,0,0,0.020389367300390808
1,95,Падение пассажира,1,0,1,0,0,0.04723552798683224
1,95,Столкновение,4,0,9,0,1,0.022273045100174894
1,96,Наезд на пешехода,5,0,5,0,0,0.03961519452244448
1,96,Наезд на препятствие,3,0,4,0,0,0.12463924068483472
1,96,Наезд на стоящее ТС,2,0,2,0,0,0.0626022067095949
1,96,Столкновение,12,0,17,0,2,0.023505752346369892
1,97,Столкновение,2,0,3,0,0,0.013325263929078027
1,98,Наезд на пешехода,9,1,9,0,0,0.03250001917653234
1,98,Наезд на стоящее ТС,1,0,1,0,0,0.0061932672907132405
1,98,Падение пассажира,1,0,1,0,0,0.03961106356985305
1,98,Столкновение,11,1,17,0,0,0.016425092837083204
1,99,Столкновение,5,1,7,0,0,0.06204162589945258
1,99,Съезд с дороги,1,0,2,0,0,0.048270540493598024
1,100,Столкновение,3,5,1,0,0,0.03270087347892895
1,100,Съезд с дороги,1,0,1,0,0,0.15808271726438888
1,101,Наезд на велосипедиста,2,0,2,0,0,0.025199994824040273
1,101,Наезд на пешехода,6,0,6,0,0,0.02617687454795696
1,101,Падение пассажира,2,0,2,0,0,0.0470354066455414
1,101,Столкновение,4,0,5,0,0,0.0493390802810165
1,102,Наезд на пешехода,9,0,10,0,2,0.015736399283114585
1,102,Наезд на стоящее ТС,1,0,1,0,0,0.0034660403958490012
1,102,Столкновение,8,0,8,0,0,0.024905756831991102
1,103,Наезд на пешехода,8,0,8,0,0,0.019719896269082195
1,103,Наезд на препятствие,1,0,1,0,0,0.004058557552757893
1,103,Падение пассажира,1,0,1,0,0,0.003965891221068765
1,103,Столкновение,8,0,10,0,1,0.021469479692879486
1,104,Наезд на велосипедиста,1,0,1,0,0,0.010882551011125327
1,104,Наезд на пешехода,7,0,7,0,1,0.012243464222672319
1,104,Столкновение,7,1,14,0,1,0.010873888351740054
1,105,Наезд на пешехода,4,1,3,0,0,0.030105590586570755
1,105,Наезд на стоящее ТС,1,0,1,0,0,0.07190263219759088
1,105,Столкновение,9,0,14,0,1,0.04295404259259712
1,106,Наезд на пешехода,7,0,7,0,2,0.024170302269908996
