dtp_id,type_group,severity,dead_count,injured_count,risk_score,has_speed_violation,has_priority_violation,has_alcohol_violation,has_pedestrian_viol,has_distance_viol,has_maneuver_viol,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,has_carsharing,is_night_dtp,is_weekend,is_rush_hour,has_traffic_light,has_crosswalk,has_camera,is_intersection
415193427,Столкновение,0,0,1,0.00869807531790785,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
415360627,Столкновение,0,0,2,0.005953661839157466,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
415372627,Столкновение,0,0,1,0.005330523768063791,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
415054427,Столкновение,0,0,2,0.007088193402362838,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414521027,Наезд на препятствие,0,0,1,0.0035643506445323407,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414485227,Столкновение,0,0,1,0.0020069156591660474,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414618227,Наезд на препятствие,0,0,3,0.0016734647058567224,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414622027,Наезд на препятствие,0,0,2,0.0020516418935918467,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414624227,Наезд на препятствие,0,0,2,0.0028079962690620935,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414625427,Наезд на препятствие,0,0,2,0.003680380365022769,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414625827,Наезд на стоящее ТС,0,0,1,0.0035460269765673724,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414653027,Наезд на пешехода,0,0,1,0.005947923902603748,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414680627,Наезд на препятствие,0,0,1,0.0073262792650888465,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414700627,Наезд на пешехода,0,0,1,0.010370020434934808,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414701827,Наезд на стоящее ТС,0,0,1,0.009859009447574051,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет
414703027,Наезд на стоящее ТС,0,0,1,0.00972313647028889,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
415557427,Столкновение,0,0,1,0.004440953088216969,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414488627,Наезд на пешехода,0,0,1,0.005947923902603748,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414515627,Наезд на пешехода,0,0,1,0.007082455465809119,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414518227,Наезд на стоящее ТС,0,0,2,0.006571444478448364,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414528227,Наезд на пешехода,0,0,1,0.008595164216749615,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414531427,Наезд на пешехода,0,0,1,0.00897334140448474,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
