dtp_id,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m,sunrise_ts,sunset_ts,daylight_minutes,is_twilight,is_dark,is_daylight,day_of_week,is_weekend,is_holiday,holiday_name,season,ice_risk,low_visibility_flag,bad_weather_flag,dark_without_lights_flag
414561027,1.4,-2.9171255,none,0.0,6.0,15.137133,25.919998,91.05594,989.9537,,2020-01-02 09:01:01.248417,2020-01-02 16:07:25.304945,426.40094213333333,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414563627,-0.3,-5.458069,snow,0.4,5.0,18.720001,36.36,87.6486,987.89386,,2020-01-02 08:59:08.773360,2020-01-02 16:06:00.292245,426.8586480833334,0,0,1,3,0,1,Новогодние каникулы,winter,1,0,1,0
414982827,1.0,-3.7256472,snow,0.1,6.0,17.414476,33.12,90.368256,989.11896,,2020-01-02 08:59:09.887552,2020-01-02 16:06:17.808474,427.1320153666667,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
415090227,1.25,-2.8708143,none,0.0,6.0,13.684735,25.199999,91.37623,987.73694,,2020-01-02 09:00:39.049952,2020-01-02 16:06:46.244193,426.1199040166667,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,0,1
416682427,0.95,-4.738782,snow,0.2,5.0,23.313995,38.16,86.17774,992.0209,,2020-01-02 08:59:18.066072,2020-01-02 16:07:21.704192,428.0606353333333,0,0,1,3,0,1,Новогодние каникулы,winter,1,0,1,0
414446427,1.2,-3.4358728,none,0.0,4.0,16.954432,33.12,90.05554,988.7626,,2020-01-02 08:58:24.310726,2020-01-02 16:09:06.357225,430.70077498333336,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414834627,-0.55,-4.9450006,none,0.0,5.0,13.441071,24.84,88.92904,1001.7558,,2020-01-08 08:55:38.544737,2020-01-08 16:17:11.815939,441.55452003333335,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,0,1
414835027,-0.3,-4.6337404,none,0.0,6.0,13.441071,22.319998,90.26973,1007.9299,,2020-01-08 08:56:56.926036,2020-01-08 16:15:57.520056,439.00990033333335,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,0,1
414901227,-0.45,-5.5370107,none,0.0,6.0,18.278645,29.16,88.93767,1000.4476,,2020-01-08 08:56:30.789143,2020-01-08 16:15:26.181367,438.9232037333333,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
414903227,-0.6,-5.6327424,none,0.0,5.0,17.49615,30.960001,86.97386,999.5802,,2020-01-08 08:55:15.359825,2020-01-08 16:16:01.992707,440.7772147,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
414907627,-0.35,-5.4626913,none,0.0,5.0,18.089775,32.399998,85.72185,1001.204,,2020-01-08 08:55:35.372115,2020-01-08 16:16:02.982331,440.4601702666667,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
